function                                                                                                                                                              #calls  time     memory  time     memory
call_user_func_array:{/Library/WebServer/Documents/php-master/includes/MWTimestamp.php:147}                                                                               51  0.0016    55488  0.0016    55488
DataValues\UnDeserializableValue::getType                                                                                                                                692  0.0191    55360  0.0191    55360
PPNode_DOM->getLength                                                                                                                                                   1145  0.0328    54960  0.0328    54960
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/lib/tests/qunit/resources.php:9-185}                                         1  0.0008   126672  0.0002    54920
Wikibase\Repo\WikibaseRepo::getDefaultInstance                                                                                                                          1099  0.0358   120536  0.0329    54744
Wikibase\Lib\Store\RedirectResolvingEntityLookup->getEntity                                                                                                              302  2.0176  7275712  0.0117    53152
ProfilerStub->isStub                                                                                                                                                    1099  0.0294    52768  0.0294    52768
DatabaseBase->isWriteQuery                                                                                                                                              1097  0.0661    52656  0.0388    52656
Profiler::instance                                                                                                                                                      1101  0.0316    75040  0.0313    52576
MagicWord->__construct                                                                                                                                                   146  0.0043    52560  0.0043    52560
Parser->setFunctionHook                                                                                                                                                   88  0.0561   629856  0.0075    52272
preg_match_all                                                                                                                                                            79  0.0021    51664  0.0021    51664
class_implements                                                                                                                                                          40  0.0011    50904  0.0011    50904
Title->__construct                                                                                                                                                      1060  0.0291    50880  0.0291    50880
Wikibase\Lib\Store\Sql\SqlEntityInfoBuilder->initEntityInfo                                                                                                              321  0.0095    50720  0.0095    50720
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/ValueView/src/resources.php:9-89}                                                     1  0.0007    93376  0.0003    50480
MWNamespace::getCanonicalNamespaces                                                                                                                                       19  0.0032   192176  0.0006    50208
Title::makeTitleSafe                                                                                                                                                      13  0.0250    57608  0.0010    49088
{closure:/Library/WebServer/Documents/php-master/extensions/WikidataBuild/extensions/Wikibase/lib/tests/qunit/jquery.wikibase/resources.php:9-256}                         1  0.0004    67360  0.0002    48776
wfDebugTimer                                                                                                                                                             598  0.0144    47840  0.0144    47840
SiteList->hasSite                                                                                                                                                        991  0.0584    47568  0.0348    47568
wfWikiID                                                                                                                                                                 590  0.0145    47360  0.0145    47360
Wikibase\Repo\WikibaseRepo->getEntityContentFactory                                                                                                                      130  0.0446   223656  0.0060    46656
Wikibase\DataModel\{closure}                                                                                                                                             147  0.0287    64712  0.0050    45896
PPDStackElement->getAccum                                                                                                                                                865  0.0510    45600  0.0312    45600
Wikibase\NamespaceUtils::getEntityNamespace                                                                                                                              935  0.2343    44880  0.0371    44880
DatabaseBase->makeOrderBy                                                                                                                                                548  0.0151    43840  0.0151    43840
DatabaseBase->makeGroupByWithHaving                                                                                                                                      548  0.0156    43840  0.0156    43840
GenericArrayObject->getNewOffset                                                                                                                                         916  0.0917    43440  0.0423    43440
gzcompress                                                                                                                                                                 1  0.0145    43240  0.0145    43240
